,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
V1,0,0.693031206,0.898196493,0.673556212,0.486308469,0.217528065,0.237533597,0.369642246,0.449957683,0.237533597,0.136019778,0.237533597
V2,0.693031206,0,0.205165287,0.019474995,0.206722737,0.475503141,0.930564803,0.32338896,0.243073524,0.930564803,0.557011428,0.930564803
V3,0.898196493,0.205165287,0,0.224640282,0.411888024,0.680668428,1.13573009,0.528554247,0.448238811,1.13573009,0.762176715,1.13573009
V4,0.673556212,0.019474995,0.224640282,0,0.187247743,0.456028147,0.911089809,0.303913966,0.223598529,0.911089809,0.537536433,0.911089809
V5,0.486308469,0.206722737,0.411888024,0.187247743,0,0.268780404,0.723842066,0.116666223,0.036350786,0.723842066,0.350288691,0.723842066
V6,0.217528065,0.475503141,0.680668428,0.456028147,0.268780404,0,0.455061662,0.152114181,0.232429618,0.455061662,0.081508287,0.455061662
V7,0.237533597,0.930564803,1.13573009,0.911089809,0.723842066,0.455061662,0,0.607175843,0.68749128,0,0.373553375,0
V8,0.369642246,0.32338896,0.528554247,0.303913966,0.116666223,0.152114181,0.607175843,0,0.080315437,0.607175843,0.233622468,0.607175843
V9,0.449957683,0.243073524,0.448238811,0.223598529,0.036350786,0.232429618,0.68749128,0.080315437,0,0.68749128,0.313937905,0.68749128
V10,0.237533597,0.930564803,1.13573009,0.911089809,0.723842066,0.455061662,0,0.607175843,0.68749128,0,0.373553375,0
V11,0.136019778,0.557011428,0.762176715,0.537536433,0.350288691,0.081508287,0.373553375,0.233622468,0.313937905,0.373553375,0,0.373553375
V12,0.237533597,0.930564803,1.13573009,0.911089809,0.723842066,0.455061662,0,0.607175843,0.68749128,0,0.373553375,0
