bat_library,Basavirus,Flaviviridae,Hepeviridae,Nodaviridae,Picobirnaviridae,Reovirales,Caliciviridae,Adenoviridae,Peribunyaviridae,Species
B1,9.98E-08,2.09E-06,3.18E-05,2.18E-06,6.72E-04,1.21E-06,0.00E+00,0.00E+00,0.00E+00,Mystacina tuberculata
B2,1.49E-06,3.93E-07,6.70E-06,7.09E-05,1.97E-05,2.78E-06,0.00E+00,0.00E+00,0.00E+00,Mystacina tuberculata
B3,1.47E-08,0.00E+00,0.00E+00,2.94E-08,8.97E-07,9.11E-07,0.00E+00,0.00E+00,4.26E-07,Mystacina tuberculata
B4,2.55E-06,5.55E-05,4.85E-06,1.96E-05,1.20E-07,2.74E-07,0.00E+00,0.00E+00,0.00E+00,Mystacina tuberculata
B5,0.00E+00,4.96E-06,1.40E-06,1.36E-04,1.28E-03,1.18E-04,2.77E-08,0.00E+00,5.54E-08,Chalinolobus tuberculatus
B6,2.71E-08,4.38E-05,2.57E-07,1.58E-03,1.09E-05,4.06E-08,0.00E+00,0.00E+00,6.63E-07,Chalinolobus tuberculatus
B7,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Mystacina tuberculata
B8,2.20E-06,0.00E+00,0.00E+00,5.24E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Mystacina tuberculata
B9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-08,0.00E+00,Chalinolobus tuberculatus
B10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Chalinolobus tuberculatus
B11,0.00E+00,0.00E+00,7.32E-07,1.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Mystacina tuberculata
B12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,Chalinolobus tuberculatus
