,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12
B1,0,0.693031206,0.898196493,0.673556212,0.352854614,0.068753379,0.237533597,0.369642246,0.237533597,0.237533597,0.136019778,0.237533597
B2,0.693031206,0,0.205165287,0.019474995,0.340176592,0.761784585,0.930564803,0.32338896,0.930564803,0.930564803,0.557011428,0.930564803
B3,0.898196493,0.205165287,0,0.224640282,0.545341879,0.966949872,1.13573009,0.528554247,1.13573009,1.13573009,0.762176715,1.13573009
B4,0.673556212,0.019474995,0.224640282,0,0.320701597,0.74230959,0.911089809,0.303913966,0.911089809,0.911089809,0.537536433,0.911089809
B5,0.352854614,0.340176592,0.545341879,0.320701597,0,0.421607993,0.590388211,0.016787632,0.590388211,0.590388211,0.216834836,0.590388211
B6,0.068753379,0.761784585,0.966949872,0.74230959,0.421607993,0,0.168780218,0.438395624,0.168780218,0.168780218,0.204773157,0.168780218
B7,0.237533597,0.930564803,1.13573009,0.911089809,0.590388211,0.168780218,0,0.607175843,0,0,0.373553375,0
B8,0.369642246,0.32338896,0.528554247,0.303913966,0.016787632,0.438395624,0.607175843,0,0.607175843,0.607175843,0.233622468,0.607175843
B9,0.237533597,0.930564803,1.13573009,0.911089809,0.590388211,0.168780218,0,0.607175843,0,0,0.373553375,0
B10,0.237533597,0.930564803,1.13573009,0.911089809,0.590388211,0.168780218,0,0.607175843,0,0,0.373553375,0
B11,0.136019778,0.557011428,0.762176715,0.537536433,0.216834836,0.204773157,0.373553375,0.233622468,0.373553375,0.373553375,0,0.373553375
B12,0.237533597,0.930564803,1.13573009,0.911089809,0.590388211,0.168780218,0,0.607175843,0,0,0.373553375,0
