,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12
B1,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B2,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B3,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B4,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B5,0.012670171,0.012670171,0.012670171,0.012670171,0,0.279724791,0.012670171,0.012670171,0.438380729,0.012670171,0.012670171,0.012670171
B6,0.292394962,0.292394962,0.292394962,0.292394962,0.279724791,0,0.292394962,0.292394962,0.158655938,0.292394962,0.292394962,0.292394962
B7,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B8,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B9,0.4510509,0.4510509,0.4510509,0.4510509,0.438380729,0.158655938,0.4510509,0.4510509,0,0.4510509,0.4510509,0.4510509
B10,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B11,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
B12,0,0,0,0,0.012670171,0.292394962,0,0,0.4510509,0,0,0
